rpm,fuel,power,torque
1118.298,244.817,29.5489,249.1404
1102.898,244.971,29.0869,248.6014
1148.538,244.5146,30.4561,250.1988
1051.599,245.484,27.548,246.806
1154.488,244.4551,30.6346,250.4071
1100.996,244.99,29.0299,248.5349
1065.46,245.3454,27.9638,247.2911
1063.846,245.3615,27.9154,247.2346
1153.424,244.4658,30.6027,250.3698
1072.122,245.2788,28.1637,247.5243
1109.641,244.9036,29.2892,248.8374
1182.129,244.1787,31.4639,251.3745
1072.593,245.2741,28.1778,247.5408
1069.297,245.307,28.0789,247.4254
1051.147,245.4885,27.5344,246.7901
1034.172,245.6583,27.0252,246.196
1008.388,245.9161,26.2516,245.2936
1148.238,244.5176,30.4471,250.1883
1027.898,245.721,26.8369,245.9764
1163.447,244.3655,30.9034,250.7206
1117.722,244.8228,29.5317,249.1203
1138.635,244.6137,30.1591,249.8522
1102.561,244.9744,29.0768,248.5896
1096.522,245.0348,28.8957,248.3783
1036.164,245.6384,27.0849,246.2657
1139.973,244.6003,30.1992,249.8991
1096.623,245.0338,28.8987,248.3818
1130.319,244.6968,29.9096,249.5612
1119.491,244.8051,29.5847,249.1822
1008.248,245.9175,26.2474,245.2887
1124.365,244.7563,29.7309,249.3528
1089.832,245.1017,28.695,248.1441
1076.311,245.2369,28.2893,247.6709
1042.416,245.5758,27.2725,246.4846
1073.818,245.2618,28.2145,247.5836
1119.678,244.8032,29.5903,249.1887
1120.919,244.7908,29.6276,249.2322
1097.598,245.024,28.9279,248.4159
1053.479,245.4652,27.6044,246.8718
1014.583,245.8542,26.4375,245.5104
1199.995,244.0,31.9998,251.9998
1058.792,245.4121,27.7638,247.0577
1062.816,245.3718,27.8845,247.1986
1060.853,245.3915,27.8256,247.1299
1033.284,245.6672,26.9985,246.1649
1124.394,244.7561,29.7318,249.3538
1186.388,244.1361,31.5916,251.5236
1036.071,245.6393,27.0821,246.2625
1182.068,244.1793,31.462,251.3724
1144.639,244.5536,30.3392,250.0624
1156.669,244.4333,30.7001,250.4834
1056.106,245.4389,27.6832,246.9637
1152.491,244.4751,30.5747,250.3372
1027.985,245.7201,26.8395,245.9795
1067.239,245.3276,28.0172,247.3534
1134.803,244.652,30.0441,249.7181
1032.163,245.6784,26.9649,246.1257
1185.351,244.1465,31.5605,251.4873
1061.215,245.3879,27.8364,247.1425
1181.428,244.1857,31.4428,251.35
1087.251,245.1275,28.6175,248.0538
1082.882,245.1712,28.4865,247.9009
1186.126,244.1387,31.5838,251.5144
1186.108,244.1389,31.5832,251.5138
1145.389,244.5461,30.3617,250.0886
1067.856,245.3214,28.0357,247.375
1180.543,244.1946,31.4163,251.319
1031.441,245.6856,26.9432,246.1004
1178.605,244.214,31.3582,251.2512
1071.93,245.2807,28.1579,247.5175
1126.249,244.7375,29.7875,249.4187
1060.963,245.3904,27.8289,247.1337
1066.608,245.3339,27.9982,247.3313
1144.365,244.5564,30.331,250.0528
1089.843,245.1016,28.6953,248.1445
1119.912,244.8009,29.5974,249.1969
1182.148,244.1785,31.4644,251.3752
1071.882,245.2812,28.1565,247.5159
1142.673,244.5733,30.2802,249.9936
1050.148,245.4985,27.5044,246.7552
1125.397,244.746,29.7619,249.3889
1109.735,244.9026,29.292,248.8407
1055.565,245.4443,27.6669,246.9448
1004.575,245.9543,26.1373,245.1601
1035.994,245.6401,27.0798,246.2598
1009.693,245.9031,26.2908,245.3393
1025.823,245.7418,26.7747,245.9038
1081.54,245.1846,28.4462,247.8539
1117.197,244.828,29.5159,249.1019
1032.232,245.6777,26.967,246.1281
1004.031,245.9597,26.1209,245.1411
1074.537,245.2546,28.2361,247.6088
1161.85,244.3815,30.8555,250.6647
1167.198,244.328,31.0159,250.8519
1160.227,244.3977,30.8068,250.6079
1153.492,244.4651,30.6048,250.3722
1177.87,244.2213,31.3361,251.2254
1085.308,245.1469,28.5592,247.9858
1084.876,245.1512,28.5463,247.9707
1127.504,244.725,29.8251,249.4626
1017.938,245.8206,26.5381,245.6278
1083.75,245.1625,28.5125,247.9313
1007.418,245.9258,26.2225,245.2596
1025.73,245.7427,26.7719,245.9006
1029.648,245.7035,26.8894,246.0377
1037.77,245.6223,27.1331,246.322
